100,5.00,20.00,300,80.43,25.26
100,6.00,16.67,300,79.08,24.58
100,7.00,14.29,300,78.43,23.99
100,8.00,12.50,300,78.74,24.10
100,9.00,11.11,300,79.09,24.23
100,10.00,10.00,300,79.46,24.38
100,11.00,9.09,300,79.85,24.53
100,12.00,8.33,300,80.27,24.69
100,13.00,7.69,300,71.75,24.92
100,14.00,7.14,300,70.49,24.26
100,15.00,6.67,300,69.75,23.88
100,16.00,6.25,300,69.34,23.65
100,17.00,5.88,300,78.30,24.19
100,18.00,5.56,300,69.14,23.52
100,19.00,5.26,300,69.07,23.46
100,20.00,5.00,300,69.11,23.45
90,4.74,18.97,270,76.91,26.08
90,5.69,15.81,270,77.10,26.13
90,6.64,13.55,270,77.34,26.21
90,7.59,11.86,270,77.64,26.32
90,8.54,10.54,270,77.97,26.44
90,9.49,9.49,270,78.32,26.58
90,10.44,8.62,270,78.71,26.73
90,11.38,7.91,270,86.51,26.61
90,12.33,7.30,270,79.12,26.89
90,13.28,6.78,270,79.56,27.07
90,14.23,6.32,270,70.14,27.41
90,15.18,5.93,270,68.83,26.72
90,16.13,5.58,270,68.08,26.31
90,17.08,5.27,270,67.66,26.07
90,18.02,4.99,270,67.44,25.93
90,18.97,4.74,270,67.38,25.87
80,4.47,17.89,240,75.84,29.09
80,5.37,14.91,240,75.98,29.11
80,6.26,12.78,240,97.04,29.76
80,7.16,11.18,240,76.18,29.18
80,8.05,9.94,240,76.43,29.25
80,8.94,8.94,240,76.73,29.36
80,9.84,8.13,240,77.08,29.49
80,10.73,7.45,240,77.45,29.64
80,11.63,6.88,240,77.85,29.80
80,12.52,6.39,240,78.28,29.98
80,13.42,5.96,240,78.74,30.16
80,14.31,5.59,240,78.91,30.84
80,15.21,5.26,240,77.44,30.06
80,16.10,4.97,240,96.95,29.69
80,16.99,4.71,240,76.59,29.60
80,17.89,4.47,240,76.11,29.33
80,4.47,17.89,240,75.88,29.18
80,5.37,14.91,240,75.80,29.10
80,6.26,12.78,240,75.84,29.09
80,7.16,11.18,240,75.98,29.11
80,8.05,9.94,240,76.18,29.18
80,8.94,8.94,240,76.43,29.25
80,9.84,8.13,240,76.73,29.36
80,10.73,7.45,240,77.08,29.49
80,11.63,6.88,240,97.00,29.68
80,12.52,6.39,240,77.45,29.64
80,13.42,5.96,240,77.85,29.80
80,14.31,5.59,240,78.28,29.98
80,15.21,5.26,240,78.74,30.16
80,16.10,4.97,240,78.91,30.84
80,16.99,4.71,240,77.44,30.06
80,17.89,4.47,240,76.59,29.60
80,4.47,17.89,240,76.11,29.33
80,5.37,14.91,240,75.88,29.18
80,6.26,12.78,240,75.80,29.10
80,7.16,11.18,240,97.16,29.70
80,8.05,9.94,240,75.84,29.09
80,8.94,8.94,240,75.98,29.11
80,9.84,8.13,240,76.18,29.18
80,10.73,7.45,240,76.43,29.25
80,11.63,6.88,240,76.73,29.36
80,12.52,6.39,240,77.08,29.49
80,13.42,5.96,240,77.45,29.64
80,14.31,5.59,240,77.85,29.80
80,15.21,5.26,240,78.28,29.98
80,16.10,4.97,240,78.74,30.16
80,16.99,4.71,240,97.39,29.76
80,17.89,4.47,240,97.69,29.86
