4,0.001,0.001,0.001,1,0.671,0.671,0.3355,0.3355,13.42,6.71,270,90,71.97,32.63
9,0.2,0.21,0.22,1,0.3535,0.3535,0.707,0.707,7.07,14.14,300,100,0.17,48.76
9,0.2,0.001,0.001,1,0.3535,0.3535,0.707,1.414,7.07,14.14,300,100,20.38,125.50
3,0.2,0.001,0.001,1,0.316,0.316,1.265,0.6325,6.32,12.65,240,80,23.13,146.88
4,0.2,0.001,0.001,1,0.671,0.671,0.3355,0.671,13.42,6.71,270,90,11.88,57.73
1,0.2,0.21,0.22,2,1.265,1.265,0.316,0.632,12.65,6.32,240,80,70.28,0.00
2,0.001,0.21,0.001,2,0.894,0.894,0.894,0.447,8.94,8.94,240,80,21.36,147.63
8,0.2,0.21,0.001,1,0.5,0.5,1,0.5,10,10,300,100,70.96,28.96
5,0.001,0.21,0.22,1,0.4745,0.4745,0.4745,0.4745,9.49,9.49,270,90,65.50,0.05
5,0.001,0.001,0.001,1,0.4745,0.4745,0.949,0.4745,9.49,9.49,270,90,75.06,0.00
6,0.2,0.001,0.22,2,0.671,0.671,0.671,0.671,6.71,13.42,270,90,71.00,0.00
5,0.2,0.001,0.22,1,0.4745,0.4745,0.4745,0.4745,9.49,9.49,270,90,70.72,26.59
3,0.001,0.001,0.22,2,0.632,0.632,1.265,0.6325,6.32,12.65,240,80,60.26,27.79
2,0.2,0.21,0.001,2,0.894,0.894,0.447,0.894,8.94,8.94,240,80,65.43,0.31
7,0.001,0.21,0.22,1,0.707,0.707,0.3535,0.3535,14.14,7.07,300,100,32.05,129.40
3,0.001,0.001,0.22,1,0.316,0.316,0.6325,0.6325,6.32,12.65,240,80,0.02,66.69
1,0.2,0.001,0.001,2,1.265,1.265,0.316,0.316,12.65,6.32,240,80,95.06,0.00
5,0.2,0.21,0.001,2,0.949,0.949,0.949,0.4745,9.49,9.49,270,90,0.04,59.56
8,0.001,0.001,0.001,2,1,1,0.5,1,10,10,300,100,71.60,28.94
5,0.2,0.21,0.22,1,0.4745,0.4745,0.949,0.4745,9.49,9.49,270,90,63.44,33.03
5,0.2,0.21,0.22,2,0.949,0.949,0.949,0.949,9.49,9.49,270,90,79.40,33.04
8,0.2,0.001,0.001,2,1,1,1,1,10,10,300,100,55.31,22.67
2,0.2,0.21,0.22,1,0.447,0.447,0.447,0.894,8.94,8.94,240,80,0.23,63.65
3,0.2,0.001,0.22,1,0.316,0.316,1.265,1.265,6.32,12.65,240,80,0.05,61.08
7,0.001,0.21,0.22,2,1.414,1.414,0.707,0.707,14.14,7.07,300,100,63.77,22.94
9,0.001,0.21,0.22,1,0.3535,0.3535,1.414,1.414,7.07,14.14,300,100,16.96,118.50
2,0.001,0.21,0.22,1,0.447,0.447,0.894,0.447,8.94,8.94,240,80,70.70,0.00
9,0.001,0.001,0.22,1,0.3535,0.3535,0.707,0.707,7.07,14.14,300,100,56.39,22.69
5,0.001,0.21,0.001,1,0.4745,0.4745,0.4745,0.949,9.49,9.49,270,90,83.72,0.00
9,0.001,0.001,0.001,2,0.707,0.707,0.707,0.707,7.07,14.14,300,100,13.03,56.91
4,0.2,0.21,0.22,1,0.671,0.671,0.671,0.3355,13.42,6.71,270,90,65.64,0.04
7,0.2,0.001,0.22,1,0.707,0.707,0.707,0.3535,14.14,7.07,300,100,36.95,137.10
2,0.2,0.001,0.001,1,0.447,0.447,0.894,0.447,8.94,8.94,240,80,70.25,36.10
2,0.2,0.21,0.22,2,0.894,0.894,0.447,0.447,8.94,8.94,240,80,60.20,27.49
9,0.2,0.001,0.001,2,0.707,0.707,1.414,0.707,7.07,14.14,300,100,62.77,22.52
5,0.001,0.001,0.001,1,0.4745,0.4745,0.4745,0.949,9.49,9.49,270,90,0.14,57.28
2,0.2,0.21,0.22,2,0.894,0.894,0.894,0.894,8.94,8.94,240,80,0.20,64.54
8,0.001,0.001,0.22,1,0.5,0.5,1,1,10,10,300,100,69.18,0.01
6,0.2,0.001,0.22,1,0.3355,0.3355,1.342,0.671,6.71,13.42,270,90,65.50,0.05
4,0.2,0.001,0.001,1,0.671,0.671,0.3355,0.3355,13.42,6.71,270,90,31.59,131.78
3,0.2,0.001,0.001,2,0.632,0.632,1.265,1.265,6.32,12.65,240,80,77.75,27.91
8,0.2,0.21,0.001,2,1,1,1,1,10,10,300,100,0.14,52.64
5,0.2,0.21,0.22,2,0.949,0.949,0.4745,0.949,9.49,9.49,270,90,70.34,26.02
9,0.001,0.21,0.001,2,0.707,0.707,1.414,0.707,7.07,14.14,300,100,69.04,0.00
6,0.2,0.21,0.001,2,0.671,0.671,1.342,1.342,6.71,13.42,270,90,0.23,55.43
9,0.2,0.21,0.001,2,0.707,0.707,1.414,1.414,7.07,14.14,300,100,65.31,0.00
6,0.001,0.21,0.001,1,0.3355,0.3355,0.671,1.342,6.71,13.42,270,90,12.19,58.71
2,0.2,0.21,0.001,2,0.894,0.894,0.894,0.894,8.94,8.94,240,80,0.03,64.73
3,0.001,0.001,0.001,1,0.316,0.316,0.6325,0.6325,6.32,12.65,240,80,35.65,148.38
6,0.2,0.21,0.22,2,0.671,0.671,0.671,1.342,6.71,13.42,270,90,10.33,60.80
5,0.001,0.001,0.22,2,0.949,0.949,0.949,0.4745,9.49,9.49,270,90,36.68,144.33
9,0.001,0.21,0.001,1,0.3535,0.3535,1.414,0.707,7.07,14.14,300,100,72.90,0.00
